,VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,StockTurnover,UnsoldInventoryValue
121,3664,WILLIAM GRANT & SONS INC,1956,Balvenie 12 Yr Doublewood S,39.99,53.99,750.0,9013.0,360429.8700000025,7922.0,456461.78000000224,290627.850000007,6241.489999999938,30234.42000000001,96031.90999999974,21.03832439158417,1.266437157386537,39.99000000000028,Large,0.8789526239875735,43629.090000000004
122,17035,PERNOD RICARD USA,2932,Jameson Black Barrel,24.61,31.99,750.0,14642.0,360339.62000000296,13785.0,444452.1500000035,262340.4900000073,10859.049999999948,123780.21999999997,84112.53000000055,18.92499113796612,1.233425705449764,24.610000000000202,Large,0.9414697445704139,21090.77
123,12546,JIM BEAM BRANDS COMPANY,5391,Kamora Coffee,12.02,15.99,1750.0,29914.0,359566.279999989,29911.0,491568.8900000042,219621.59000000564,54956.09999999993,123880.96999999999,132002.61000001518,26.85332873689668,1.3671162101185328,12.019999999999634,Large,0.9998997125091931,36.06
124,3960,DIAGEO NORTH AMERICA INC,1384,Bulleit 95 Rye,18.93,25.99,750.0,18900.0,357776.9999999982,17620.0,470254.80000000354,239842.66000000696,13877.409999999782,257032.07000000007,112477.80000000534,23.918479938961706,1.3143796275333683,18.929999999999904,Large,0.9322751322751323,24230.4
125,1392,CONSTELLATION BRANDS INC,38546,Mark West Pnt Nr Sonoma,5.06,9.99,750.0,70531.0,356886.85999999405,70188.0,675519.6200000003,133090.84999999887,7875.9999999998545,79528.99,318632.7600000063,47.1685426398135,1.8928116882756951,5.059999999999915,Large,0.9951368901617729,1735.58
126,12546,JIM BEAM BRANDS COMPANY,3982,Hornitos Reposado Tequila,14.38,19.99,750.0,24801.0,356638.37999999576,22099.0,469603.0100000022,226692.600000006,17402.719999999594,123880.96999999999,112964.63000000647,24.05534623809288,1.3167483824932353,14.379999999999828,Large,0.8910527801298335,38854.76
127,3252,E & J GALLO WINERY,3180,New Amsterdam Vodka,10.94,16.99,1750.0,32413.0,354598.22000001767,33938.0,581784.6200000003,232222.54000000854,62355.959999999046,61966.909999999996,227186.39999998268,39.04991506994161,1.6406868032218869,10.940000000000545,Large,1.0470490235399377,-16683.5
128,1128,BROWN-FORMAN CORP,1789,Jack Daniels Tennesse Fire,17.16,22.99,750.0,20590.0,353324.40000000066,20025.0,469722.7500000037,237927.51000000647,15770.389999999683,68601.68000000001,116398.35000000306,24.780224078991733,1.3294376216304418,17.160000000000032,Large,0.9725594949004371,9695.4
129,1485,CASTLE BRANDS CORP.,1269,Jeffersons Bourbon,19.11,25.99,750.0,18458.0,352732.3799999953,16976.0,447608.24000000465,227255.99000000526,13370.659999999836,8497.589999999998,94875.86000000936,21.19618262613047,1.2689740590302785,19.109999999999744,Large,0.9197096110087767,28321.02
130,3960,DIAGEO NORTH AMERICA INC,3456,Tanqueray Sterling Vodka,13.27,18.99,1750.0,26543.0,352225.6099999936,25684.0,483047.16000000085,171496.44999999623,47193.95000000048,257032.07000000007,130821.55000000726,27.082562704645035,1.3714140774715662,13.269999999999758,Large,0.9676374185284256,11398.93
131,4425,MARTIGNETTI COMPANIES,23143,Bogle Chard,4.65,6.79,750.0,74342.0,345690.29999999725,72139.0,591669.5300000033,101451.92000000164,8099.379999999894,144929.24,245979.23000000603,41.57375317265445,1.7115595375398385,4.649999999999963,Large,0.9703666837050389,10243.95
132,1128,BROWN-FORMAN CORP,1231,Jack Daniels No 7 Black,9.48,12.99,375.0,36450.0,345545.99999999895,35733.0,435377.67000000825,192455.16000000053,14044.219999999952,68601.68000000001,89831.6700000093,20.633044868839416,1.2599702210415098,9.479999999999972,Large,0.9803292181069959,6797.16
133,480,BACARDI USA INC,3344,Bombay Sapphire Gin,14.49,19.99,750.0,23798.0,344833.0200000061,24620.0,516761.7999999993,236205.7000000067,19388.24999999949,89286.26999999999,171928.77999999322,33.270412015747574,1.4985856052880033,14.490000000000256,Large,1.0345407177073704,-11910.78
134,8004,SAZERAC CO INC,5191,Fireball Cinnamon Whiskey,7.93,9.99,375.0,43352.0,343781.36000000814,43057.0,430139.4300000095,167542.28999999297,16928.970000000132,50293.62000000002,86358.07000000135,20.07676208619132,1.2512005595649494,7.930000000000188,Large,0.9931952389739804,2339.35
135,3960,DIAGEO NORTH AMERICA INC,3878,Smirnoff 80 Proof,7.96,10.99,750.0,43015.0,342399.3999999967,43690.0,499703.1000000057,175166.1699999959,34397.94000000069,257032.07000000007,157303.70000000898,31.479432487012225,1.4594158167333544,7.959999999999924,Large,1.015692200395211,-5373.0
136,3960,DIAGEO NORTH AMERICA INC,3352,Ciroc Coconut Vodka,18.79,24.99,750.0,18095.0,340005.05000000034,18976.0,474449.24000000115,91916.84000000189,14945.689999999919,257032.07000000007,134444.19000000082,28.336896482329806,1.3954182151118069,18.790000000000017,Large,1.0486874827300359,-16553.989999999998
137,12546,JIM BEAM BRANDS COMPANY,3253,Gilbeys London Dry,9.08,12.49,1750.0,37423.0,339800.8400000012,37497.0,463220.0300000029,154889.60999999626,68894.59999999873,123880.96999999999,123419.19000000169,26.643750703094792,1.3632103734646486,9.080000000000032,Large,1.0019773935814873,-671.92
138,3664,WILLIAM GRANT & SONS INC,1921,Glenfiddich Special Rsv 12,52.71,67.99,1750.0,6436.0,339241.56000000105,5463.0,379168.37000000174,230498.0200000029,10040.8700000001,30234.42000000001,39926.810000000696,10.530100387856853,1.1176943355643116,52.710000000000164,Large,0.8488191423244251,51286.83
139,3960,DIAGEO NORTH AMERICA INC,4264,Capt Morgan Spiced Rum Trav,11.53,16.99,750.0,29352.0,338428.55999998923,28860.0,447487.4000000046,211607.67000000307,22722.449999999517,257032.07000000007,109058.84000001539,24.37137671362686,1.3222506989363394,11.529999999999633,Large,0.9832379394930498,5672.759999999999
140,3960,DIAGEO NORTH AMERICA INC,2752,Johnnie Walker Black Label,26.31,38.99,750.0,12778.0,336189.1799999959,13083.0,490792.1700000004,271655.8900000076,10306.039999999964,257032.07000000007,154602.99000000447,31.50070425940258,1.4598690237443286,26.30999999999968,Large,1.0238691501017374,-8024.549999999999
141,12546,JIM BEAM BRANDS COMPANY,3997,Hornitos Plata Tequila,14.05,19.99,750.0,23835.0,334881.7499999959,23007.0,474637.9300000027,233740.73000000702,18117.009999999493,123880.96999999999,139756.1800000068,29.444798059018584,1.417329938105043,14.049999999999828,Large,0.9652611705475141,11633.400000000001
142,3664,WILLIAM GRANT & SONS INC,3234,Hendrick's Gin,45.92,62.99,1750.0,7290.0,334756.8000000001,7465.0,467921.34999999916,294818.10000000615,13719.890000000267,30234.42000000001,133164.54999999906,28.458746325637698,1.3977949066307211,45.920000000000016,Large,1.0240054869684498,-8036.0
143,8004,SAZERAC CO INC,1767,Buffalo Trace Bourbon,19.37,24.99,750.0,17274.0,334597.38000000303,16336.0,412468.64000000525,203881.09000000174,12865.979999999861,50293.62000000002,77871.26000000222,18.879316497855747,1.2327312305912304,19.370000000000175,Large,0.9456987379877272,18169.06
144,3664,WILLIAM GRANT & SONS INC,5337,Drambuie,20.6,27.99,750.0,16167.0,333040.2000000021,14262.0,394423.38000000594,219275.1700000039,11234.03999999993,30234.42000000001,61383.180000003835,15.562764053186429,1.184311623641841,20.60000000000013,Large,0.8821673779922063,39243.0
145,7239,REMY COINTREAU USA INC,4437,Mount Gay Eclipse,23.48,30.99,1750.0,14171.0,332735.08000000386,13562.0,461672.37999999954,235529.3500000044,24922.550000000592,16978.669999999995,128937.29999999568,27.928311414253503,1.3875073827502473,23.480000000000274,Large,0.957024910027521,14299.32
146,1392,CONSTELLATION BRANDS INC,11213,Meiomi Pnt Nr,12.66,19.99,750.0,26190.0,331565.4000000009,25652.0,503067.480000003,150294.91999999818,2871.6600000000376,79528.99,171502.0800000021,34.091267437919285,1.5172496285800678,12.660000000000034,Large,0.9794578083237877,6811.08
147,8004,SAZERAC CO INC,5299,Southern Comfort,15.26,21.99,1750.0,21713.0,331340.37999999657,19895.0,412339.0500000026,130310.42999999995,36554.340000000695,50293.62000000002,80998.67000000604,19.64370582897873,1.2444575876927735,15.259999999999842,Large,0.9162713581725234,27742.68
148,7239,REMY COINTREAU USA INC,782,Remy Martin 1738 Accord Ryl,35.15,54.99,750.0,9415.0,330937.250000001,9148.0,444072.5200000032,151788.5699999992,7204.399999999965,16978.669999999995,113135.27000000223,25.476755463274646,1.3418632082063953,35.150000000000105,Large,0.9716409984067976,9385.05
149,3960,DIAGEO NORTH AMERICA INC,2889,Buchanans Deluxe 12Yr Scotch,23.07,31.99,750.0,14260.0,328978.1999999996,13468.0,432258.320000001,78540.69000000118,10606.019999999993,257032.07000000007,103280.12000000139,23.893147967632213,1.3139421396311413,23.069999999999972,Large,0.9444600280504909,18271.44
150,3960,DIAGEO NORTH AMERICA INC,3549,Ketel One Vodka,17.82,26.99,750.0,18322.0,326498.04,16532.0,407030.6800000066,212090.72000000317,13020.039999999877,257032.07000000007,80532.64000000665,19.785397995061537,1.2466558145341597,17.82,Large,0.902303242004148,31897.8
151,17035,PERNOD RICARD USA,857,Kahlua,16.17,21.99,1000.0,20165.0,326068.0499999993,19674.0,462932.2600000046,199801.36000000103,20657.700000000426,123780.21999999997,136864.21000000532,29.56463003896163,1.4197412472642004,16.169999999999966,Large,0.9756508802380363,7939.470000000001
152,3960,DIAGEO NORTH AMERICA INC,8506,Myers Original Dark Rum,21.42,29.99,1750.0,15187.0,325305.53999999695,14633.0,449036.6700000036,198940.7000000002,26889.5800000006,257032.07000000007,123731.13000000664,27.55479413296149,1.380353590043403,21.4199999999998,Large,0.9635214328043722,11866.68
153,4425,MARTIGNETTI COMPANIES,14672,Duckhorn Decoy Cab Svgn,11.61,21.99,750.0,27814.0,322920.540000002,27729.0,508256.95000000193,143395.55999999575,3105.3200000000356,144929.24,185336.40999999992,36.465100969106125,1.573938127317633,11.610000000000072,Large,0.9969439850435032,986.8499999999999
